sp	x	y
Conium_maculatum_Native	-5.43739	50.25348
Conium_maculatum_Native	-5.29734	50.25754
Conium_maculatum_Native	-3.62387	50.56283
Conium_maculatum_Native	-2.21226	50.6639
Conium_maculatum_Native	5.1843	50.78068
Conium_maculatum_Native	-2.92326	50.84031
Conium_maculatum_Native	-3.49412	50.92434
Conium_maculatum_Native	0.92124	50.9873
Conium_maculatum_Native	-1.92814	51.38353
Conium_maculatum_Native	0.69424	51.98218
Conium_maculatum_Native	1.13676	52.06117
Conium_maculatum_Native	-0.02944	52.08645
Conium_maculatum_Native	-0.02148	52.26617
Conium_maculatum_Native	1.00924	52.33433
Conium_maculatum_Native	0.42271	52.34782
Conium_maculatum_Native	-2.88897	52.38281
Conium_maculatum_Native	0.13362	52.44333
Conium_maculatum_Native	-2.75859	52.49161
Conium_maculatum_Native	-3.09844	52.5339
Conium_maculatum_Native	-2.07375	52.55246
Conium_maculatum_Native	-2.87857	52.59867
Conium_maculatum_Native	-2.53425	52.63714
Conium_maculatum_Native	-2.71704	52.65371
Conium_maculatum_Native	-3.01581	52.78639
Conium_maculatum_Native	-3.04871	52.92097
Conium_maculatum_Native	11.4153	53.2485
Conium_maculatum_Native	12.5818	53.3485
Conium_maculatum_Native	13.415	53.3485
Conium_maculatum_Native	-2.79645	53.35895
Conium_maculatum_Native	-1.32376	53.35969
Conium_maculatum_Native	11.2487	53.4485
Conium_maculatum_Native	12.4152	53.4485
Conium_maculatum_Native	-1.47292	53.45034
Conium_maculatum_Native	-3.00935	53.46522
Conium_maculatum_Native	12.9151	53.8485
Conium_maculatum_Native	13.415	53.9485
Conium_maculatum_Native	-6.83889	54.61756
Conium_maculatum_Native	-3.334	55.15197
Conium_maculatum_Native	12.99427	55.52825
Conium_maculatum_Native	13.07933	55.68817
Conium_maculatum_Native	-4.31146	55.7666
Conium_maculatum_Native	-2.73465	56.6847
Conium_maculatum_Native	-3.57	37.95
Conium_maculatum_Native	-3.99	39.84
Conium_maculatum_Native	-4.11	41.75
Conium_maculatum_Native	4.05867	46.4099
Conium_maculatum_Native	10.21	47.92
Conium_maculatum_Native	12.60144	48.84069
Conium_maculatum_Native	12.29	48.92
Conium_maculatum_Native	6.45	49.71
Conium_maculatum_Native	6.13	49.91
Conium_maculatum_Native	-5.27887	49.98814
Conium_maculatum_Native	10.79	50.22
Conium_maculatum_Native	10.96	50.22
Conium_maculatum_Native	10.79	50.32
Conium_maculatum_Native	-4.32056	50.37112
Conium_maculatum_Native	-2.63676	50.66235
Conium_maculatum_Native	-2.35376	50.66355
Conium_maculatum_Native	-2.21307	50.84377
Conium_maculatum_Native	-2.78425	51.0212
Conium_maculatum_Native	-2.64167	51.02207
Conium_maculatum_Native	-2.92862	51.11008
Conium_maculatum_Native	-3.07355	51.19877
Conium_maculatum_Native	-2.7873	51.20105
Conium_maculatum_Native	-2.64417	51.20192
Conium_maculatum_Native	-2.93775	51.55965
Conium_maculatum_Native	-2.7935	51.56072
Conium_maculatum_Native	0.82277	51.70933
Conium_maculatum_Native	1.11802	51.79181
Conium_maculatum_Native	1.42115	51.96329
Conium_maculatum_Native	0.9851	51.97516
Conium_maculatum_Native	1.57359	52.04872
Conium_maculatum_Native	0.84538	52.06857
Conium_maculatum_Native	0.55388	52.07525
Conium_maculatum_Native	0.40809	52.07832
Conium_maculatum_Native	0.26227	52.08121
Conium_maculatum_Native	0.11643	52.08392
Conium_maculatum_Native	11.63667	52.12305
Conium_maculatum_Native	1.43491	52.1428
Conium_maculatum_Native	0.70508	52.16181
Conium_maculatum_Native	1.588	52.2282
Conium_maculatum_Native	1.29565	52.23673
Conium_maculatum_Native	1.14942	52.24073
Conium_maculatum_Native	0.85687	52.24818
Conium_maculatum_Native	1.74167	52.31338
Conium_maculatum_Native	1.44881	52.32231
Conium_maculatum_Native	0.71603	52.34144
Conium_maculatum_Native	1.60256	52.40767
Conium_maculatum_Native	1.30903	52.41626
Conium_maculatum_Native	0.86847	52.42778
Conium_maculatum_Native	1.7569	52.49282
Conium_maculatum_Native	1.46285	52.5018
Conium_maculatum_Native	-0.00938	52.53574
Conium_maculatum_Native	-0.15674	52.53813
Conium_maculatum_Native	1.61728	52.58713
Conium_maculatum_Native	-3.10842	52.63721
Conium_maculatum_Native	-0.43875	52.90185
Conium_maculatum_Native	-1.1735	53.35875
Conium_maculatum_Native	11.9152	53.4485
Conium_maculatum_Native	14.4148	53.4485
Conium_maculatum_Native	-1.3209	53.53947
Conium_maculatum_Native	11.082	53.5485
Conium_maculatum_Native	11.2487	53.6485
Conium_maculatum_Native	12.0819	53.6485
Conium_maculatum_Native	12.5818	53.6485
Conium_maculatum_Native	13.7483	53.6485
Conium_maculatum_Native	12.0819	53.7485
Conium_maculatum_Native	12.2485	53.7485
Conium_maculatum_Native	12.4151	53.7485
Conium_maculatum_Native	12.9151	53.7485
Conium_maculatum_Native	12.2485	54.2484
Conium_maculatum_Native	-3.5289	56.1383
Conium_maculatum_Native	16.5006	56.3399
Conium_maculatum_Native	-6.94547	56.40855
Conium_maculatum_Native	14.8335	56.8783
Conium_maculatum_Native	15.8711	57.4658
Conium_maculatum_Native	18.3302	57.6596
Conium_maculatum_Native	16.6412	58.1293
Conium_maculatum_Native	-5.42	36.66
Conium_maculatum_Native	-3.96	36.939
Conium_maculatum_Native	-4.57	37.04
Conium_maculatum_Native	-4.69	37.39
Conium_maculatum_Native	14.04222	37.56944
Conium_maculatum_Native	-4.36	37.58
Conium_maculatum_Native	-3.77	37.77
Conium_maculatum_Native	-5.28	38.2
Conium_maculatum_Native	-0.83	39.96
Conium_maculatum_Native	9.2	42.46667
Conium_maculatum_Native	11.74781	48.61338
Conium_maculatum_Native	-4.60155	50.36517
Conium_maculatum_Native	3.43722	50.93268
Conium_maculatum_Native	-2.35199	51.36953
Conium_maculatum_Native	-1.06593	51.37983
Conium_maculatum_Native	-2.21599	51.47328
Conium_maculatum_Native	-1.49503	51.56231
Conium_maculatum_Native	4.65198	52.57059
Conium_maculatum_Native	0.14235	52.62302
Conium_maculatum_Native	-2.22354	53.0018
Conium_maculatum_Native	-1.02325	53.35761
Conium_maculatum_Native	-0.72009	53.44465
Conium_maculatum_Native	-0.87063	53.44617
Conium_maculatum_Native	12.5818	53.4485
Conium_maculatum_Native	-2.85872	53.4664
Conium_maculatum_Native	13.415	53.7485
Conium_maculatum_Native	-0.40556	53.80048
Conium_maculatum_Native	12.7484	54.1484
Conium_maculatum_Native	12.9151	54.1484
Conium_maculatum_Native	13.5816	54.1484
Conium_maculatum_Native	12.4151	54.3484
Conium_maculatum_Native	11.65282	54.86087
Conium_maculatum_Native	-4.25978	54.86864
Conium_maculatum_Native	16.0486	56.3287
Conium_maculatum_Native	-7.50748	56.92489
Conium_maculatum_Native	-5.28	36.65
Conium_maculatum_Native	-4.53	40.7
Conium_maculatum_Native	-2.469	42.636
Conium_maculatum_Native	-4.23	42.99
Conium_maculatum_Native	16.20806	48.125
Conium_maculatum_Native	10.71	48.32
Conium_maculatum_Native	-6.39205	49.95129
Conium_maculatum_Native	11.79	50.42
Conium_maculatum_Native	-2.49621	50.75297
Conium_maculatum_Native	-2.07102	50.84394
Conium_maculatum_Native	-3.06939	51.01894
Conium_maculatum_Native	-4.21368	51.0928
Conium_maculatum_Native	4.37616	51.22399
Conium_maculatum_Native	4.91375	51.29015
Conium_maculatum_Native	-1.92828	51.2936
Conium_maculatum_Native	-2.60987	51.31452
Conium_maculatum_Native	-2.81106	51.33128
Conium_maculatum_Native	-1.49038	51.33298
Conium_maculatum_Native	-1.24215	51.36896
Conium_maculatum_Native	-2.97009	51.38403
Conium_maculatum_Native	-2.71212	51.43085
Conium_maculatum_Native	-2.48309	51.53993
Conium_maculatum_Native	-1.78358	51.5632
Conium_maculatum_Native	-2.64234	51.58412
Conium_maculatum_Native	-2.49859	51.63878
Conium_maculatum_Native	-1.63859	51.65277
Conium_maculatum_Native	-1.78315	51.65312
Conium_maculatum_Native	5.82503	51.77779
Conium_maculatum_Native	11.78643	51.93604
Conium_maculatum_Native	-2.51311	52.28164
Conium_maculatum_Native	-3.10166	52.36753
Conium_maculatum_Native	-2.66104	52.37081
Conium_maculatum_Native	-2.36725	52.37209
Conium_maculatum_Native	-2.39744	52.46191
Conium_maculatum_Native	-2.36951	52.64182
Conium_maculatum_Native	-2.93225	52.69267
Conium_maculatum_Native	-2.51837	52.73117
Conium_maculatum_Native	-3.17233	52.81641
Conium_maculatum_Native	-2.66922	52.91022
Conium_maculatum_Native	-2.67061	53.00012
Conium_maculatum_Native	-9.72364	53.26289
Conium_maculatum_Native	-1.17523	53.26886
Conium_maculatum_Native	-10.02746	53.34799
Conium_maculatum_Native	13.2484	53.3485
Conium_maculatum_Native	11.582	53.4485
Conium_maculatum_Native	14.0816	53.4485
Conium_maculatum_Native	12.5818	53.5485
Conium_maculatum_Native	13.2484	53.5485
Conium_maculatum_Native	14.0816	53.5485
Conium_maculatum_Native	-10.04035	53.61739
Conium_maculatum_Native	11.582	53.6485
Conium_maculatum_Native	12.9151	53.6485
Conium_maculatum_Native	13.415	53.6485
Conium_maculatum_Native	13.5816	53.6485
Conium_maculatum_Native	12.5818	53.7485
Conium_maculatum_Native	12.7484	53.7485
Conium_maculatum_Native	12.0819	53.8485
Conium_maculatum_Native	12.2485	53.8485
Conium_maculatum_Native	12.4151	53.8485
Conium_maculatum_Native	12.4152	53.9485
Conium_maculatum_Native	12.5818	53.9485
Conium_maculatum_Native	12.7484	53.9485
Conium_maculatum_Native	12.9151	53.9485
Conium_maculatum_Native	12.7484	54.0484
Conium_maculatum_Native	12.0819	54.1484
Conium_maculatum_Native	13.5816	54.4484
Conium_maculatum_Native	-1.30306	54.61802
Conium_maculatum_Native	-1.45187	55.06817
Conium_maculatum_Native	-4.94826	55.75296
Conium_maculatum_Native	-4.15218	55.76949
Conium_maculatum_Native	16.1627	56.6069
Conium_maculatum_Native	-7.39581	57.28979
Conium_maculatum_Native	15.1006	57.4313
Conium_maculatum_Native	16.651	57.4692
Conium_maculatum_Native	-1.74972	57.4952
Conium_maculatum_Native	13.8414	58.4842
Conium_maculatum_Native	18.2672	59.8429
Conium_maculatum_Native	-0.38	39.5
Conium_maculatum_Native	-2.21668	42.47029
Conium_maculatum_Native	-2.99963	42.49065
Conium_maculatum_Native	-6.94	43.58
Conium_maculatum_Native	1.34376	47.9867
Conium_maculatum_Native	1.64809	48.5268
Conium_maculatum_Native	1.35288	48.7172
Conium_maculatum_Native	12.12	49.02
Conium_maculatum_Native	5.01441	50.79972
Conium_maculatum_Native	5.9334	50.81009
Conium_maculatum_Native	5.74897	50.81082
Conium_maculatum_Native	6.02372	50.93053
Conium_maculatum_Native	3.99141	51.00766
Conium_maculatum_Native	-2.07172	51.2936
Conium_maculatum_Native	-3.11269	51.3378
Conium_maculatum_Native	-2.072	51.47345
Conium_maculatum_Native	-2.07214	51.56338
Conium_maculatum_Native	-1.92772	51.6533
Conium_maculatum_Native	3.81796	51.69075
Conium_maculatum_Native	5.98979	51.8705
Conium_maculatum_Native	-1.92655	52.37264
Conium_maculatum_Native	-1.7792	52.46237
Conium_maculatum_Native	-1.92625	52.55246
Conium_maculatum_Native	0.15562	52.89255
Conium_maculatum_Native	12.4152	53.2485
Conium_maculatum_Native	12.7484	53.2485
Conium_maculatum_Native	13.2484	53.2485
Conium_maculatum_Native	-1.47403	53.36045
Conium_maculatum_Native	11.7486	53.4485
Conium_maculatum_Native	12.9151	53.4485
Conium_maculatum_Native	-1.17	53.53852
Conium_maculatum_Native	12.0819	53.5485
Conium_maculatum_Native	13.0817	53.5485
Conium_maculatum_Native	13.7483	53.5485
Conium_maculatum_Native	13.9149	53.5485
Conium_maculatum_Native	-0.68527	53.57238
Conium_maculatum_Native	13.2484	53.8485
Conium_maculatum_Native	13.7483	53.9485
Conium_maculatum_Native	12.2485	54.1484
Conium_maculatum_Native	-5.4634	54.32693
Conium_maculatum_Native	-5.60654	54.5096
Conium_maculatum_Native	-5.7559	54.60233
Conium_maculatum_Native	-5.26644	55.74491
Conium_maculatum_Native	-4.19782	55.87205
Conium_maculatum_Native	16.6369	56.6789
Conium_maculatum_Native	16.0653	56.8881
Conium_maculatum_Native	11.9157	57.3935
Conium_maculatum_Native	16.2646	57.4865
Conium_maculatum_Native	-1.91616	57.67509
Conium_maculatum_Native	12.0008	57.8621
Conium_maculatum_Native	-0.96	39.6
Conium_maculatum_Native	8.85	41.73333
Conium_maculatum_Native	0.87	42.57
Conium_maculatum_Native	-1.12172	42.88081
Conium_maculatum_Native	11.29	48.72
Conium_maculatum_Native	3.32544	50.84184
Conium_maculatum_Native	-3.77858	50.92035
Conium_maculatum_Native	3.75028	50.92574
Conium_maculatum_Native	3.7624	51.08761
Conium_maculatum_Native	0.22666	51.36239
Conium_maculatum_Native	-3.50871	51.37384
Conium_maculatum_Native	-0.6821	51.45933
Conium_maculatum_Native	-4.23542	51.5421
Conium_maculatum_Native	-4.09131	51.54476
Conium_maculatum_Native	-4.96145	51.61597
Conium_maculatum_Native	-0.48235	51.64352
Conium_maculatum_Native	-1.06039	51.64957
Conium_maculatum_Native	-5.25633	51.69811
Conium_maculatum_Native	-4.82277	51.70933
Conium_maculatum_Native	-3.95489	51.72699
Conium_maculatum_Native	-3.66542	51.73145
Conium_maculatum_Native	-2.07243	51.74322
Conium_maculatum_Native	-0.33127	51.82133
Conium_maculatum_Native	-0.47632	51.8233
Conium_maculatum_Native	-1.78229	51.83297
Conium_maculatum_Native	-5.2693	51.87766
Conium_maculatum_Native	-0.61863	51.91498
Conium_maculatum_Native	-3.236	51.9166
Conium_maculatum_Native	-1.49101	51.92199
Conium_maculatum_Native	-1.63643	51.92253
Conium_maculatum_Native	-1.92728	51.92306
Conium_maculatum_Native	5.55452	51.96181
Conium_maculatum_Native	-5.13048	51.97139
Conium_maculatum_Native	-0.17898	51.99893
Conium_maculatum_Native	-0.32459	52.00109
